model,feature,epochs,learning_rate,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy
CNN_2,MFCC,50,0.1,0.094,2.298,0.098,2.258,0.085
CNN_2,MFCC,50,0.1,0.065,2.298,0.102,2.262,0.085
CNN_2,MFCC,50,0.1,0.064,2.295,0.108,2.258,0.116
CNN_2,MFCC,50,0.1,0.067,2.283,0.101,2.273,0.113
CNN_2,MFCC,50,0.1,0.072,2.289,0.082,2.286,0.110
CNN_2,MFCC,50,0.01,0.115,2.262,0.098,2.251,0.085
CNN_2,MFCC,50,0.01,0.123,2.259,0.102,2.254,0.085
CNN_2,MFCC,50,0.01,0.119,2.259,0.129,2.251,0.110
CNN_2,MFCC,50,0.01,0.121,2.255,0.121,2.269,0.110
CNN_2,MFCC,50,0.01,0.176,2.152,0.143,2.093,0.190
CNN_2,MFCC,50,0.001,0.603,1.024,0.484,2.323,0.439
CNN_2,MFCC,50,0.001,0.276,1.851,0.323,2.122,0.301
CNN_2,MFCC,50,0.001,0.470,1.422,0.424,1.693,0.345
CNN_2,MFCC,50,0.001,0.190,2.082,0.165,2.380,0.209
CNN_2,MFCC,50,0.001,0.319,1.734,0.253,1.881,0.290
CNN_2,MFCC,50,0.0001,0.779,0.606,0.528,1.724,0.516
CNN_2,MFCC,50,0.0001,0.206,2.152,0.289,2.186,0.259
CNN_2,MFCC,50,0.0001,0.371,1.743,0.316,2.005,0.340
CNN_2,MFCC,50,0.0001,0.682,0.835,0.468,2.022,0.535
CNN_2,MFCC,50,0.0001,0.663,0.855,0.459,1.818,0.488
